interval,time,Kahului3,Kahului4,Maalaea01,Maalaea02,Maalaea03,Maalaea04,Maalaea05,Maalaea06,Maalaea07,Maalaea08,Maalaea09,Maalaea10,Maalaea11,Maalaea12,Maalaea13,MaalaeaX1,MaalaeaX2,Maalaea14cc,Maalaea15cc,Maalaea16cc,Maalaea17cc,Maalaea18cc,Maalaea19cc
56,0:04:35,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
57,0:04:40,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
58,0:04:45,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
59,0:04:50,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
60,0:04:55,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
61,0:05:00,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
62,0:05:05,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
63,0:05:10,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
64,0:05:15,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
65,0:05:20,3,3,2.5,2.5,2.5,1.86,1.86,1.86,1.86,1.86,1.86,7.87,7.87,7.87,7.87,2.5,2.5,5.88,3.7318,5.88,5.93,2.964282,5.93
