number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,Ri,PFR_up_Flag,PFR_dn_Flag,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,PFR_up_Price,PFR_dn_Price,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run,Flexibility,RTPlanCommit
33,M0041,93101,0,30,0,0,PV-2,1,24,0,0,0,0,2,0,0,0,30,0,30,0,30,0,30,0.06,0,0,0,0,1,1,0.001,0.001,0.001,0.002,0.01,0.01,0,0,1
34,M0042,93102,0,30,0,0,PV-2,1,24,0,0,0,0,2,0,0,0,30,0,30,0,30,0,30,0.06,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
32,DPV1,13,0,2.614,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.614,0,2.614,0,2.614,0,2.614,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
33,DPV2,98,0,0.419,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.419,0,0.419,0,0.419,0,0.419,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
34,DPV3,112,0,2.128,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.128,0,2.128,0,2.128,0,2.128,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
35,DPV4,123,0,1.341,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.341,0,1.341,0,1.341,0,1.341,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
36,DPV5,125,0,2.48,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.48,0,2.48,0,2.48,0,2.48,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
37,DPV6,129,0,0.937,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.937,0,0.937,0,0.937,0,0.937,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
38,DPV7,130,0,2.614,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.614,0,2.614,0,2.614,0,2.614,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
39,DPV8,134,0,0.736,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.736,0,0.736,0,0.736,0,0.736,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
40,DPV9,135,0,4.81,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,4.81,0,4.81,0,4.81,0,4.81,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
41,DPV10,136,0,1.539,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.539,0,1.539,0,1.539,0,1.539,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
42,DPV11,139,0,4.343,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,4.343,0,4.343,0,4.343,0,4.343,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
43,DPV12,141,0,0.049,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.049,0,0.049,0,0.049,0,0.049,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
44,DPV13,142,0,0.08,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.08,0,0.08,0,0.08,0,0.08,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
45,DPV14,150,0,3.643,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,3.643,0,3.643,0,3.643,0,3.643,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
